Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon Route 53,0,958,11496,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,23,276,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon EC2,0,547.98,6575.76,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for MySQL,14620,1310.224,30342.69,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Quantity (4), Instance type (db.m5.2xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,573.05,6876.6,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour)"
My Estimate,US East (N. Virginia),elastic ip,Amazon Elastic IP,0,1073.1,12877.2,USD,"Number of EC2 instances (6), Number of EIPs per instance (50)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,365.32,4383.84,USD,"Operating system (Linux), Quantity (4), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.xlarge)"
My Estimate,US East (N. Virginia),Application load balancer,Application Load Balancer,0,5872.85,70474.2,USD,Number of Application Load Balancers (2)
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
"To improve performance and redundancy, I change EC2 instance type to M5.xlarge for web and application servers and I added two more EC2 so total will be 6",,,,,,,,
RDS instance type changed to db.m5.lxlarge and added two more and total will be 4.,,,,,,,,
Application load balancer performance in data changed to 200 gb per hour,,,,,,,,
