Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),S3,S3 Standard,0,23,276.00,USD,S3 Standard storage (1000 GB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,92.07,1104.84,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),Route53,Amazon Route 53,0,938,11256.00,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
My Estimate,US East (N. Virginia),EC2,Amazon EC2,0,606.67,7280.04,USD,"Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t4g.xlarge)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for PostgreSQL,0,1085.52,13026.24,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (100 GB per month), Nodes (2), Instance Type (db.m5.xlarge), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,573.05,6876.60,USD,"Number of Availability Zones that Gateway Load Balancer is deployed to (2), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour)"
My Estimate,US East (N. Virginia),ElasticIP,Amazon Elastic IP,0,1073.1,12877.20,USD,"Number of EC2 instances (6), Number of EIPs per instance (50)"
My Estimate,US East (N. Virginia),EC2 web,Amazon EC2,0,304,3648.00,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m4.large)"
My Estimate,US East (N. Virginia),LB,Application Load Balancer,0,2952.85,35434.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
